id,GEOID10,Town,total_crashes,total_inj,total_fatal,color
48,1729756,Glen Ellyn,60,58,0,crash
53,1729730,Glendale Heights,56,56,0,crash
54,1704975,Bellwood,53,51,0,crash
56,1764343,River Grove,52,47,0,crash
58,1766703,St. Charles,51,48,0,crash
60,1720292,Dolton,49,48,0,crash
61,1700243,Addison,48,47,0,crash
62,1709642,Burbank,48,48,0,crash
67,1711332,Carol Stream,43,40,0,crash
68,1709447,Buffalo Grove,41,41,0,crash
70,1783518,Worth,39,38,0,crash
72,1728872,Geneva,38,34,0,crash
77,1777993,Villa Park,36,35,0,crash
80,1701010,Alsip,35,32,0,crash
82,1780645,Westmont,35,33,0,crash
86,1718992,Deerfield,34,32,0,crash
88,1783245,Woodridge,34,33,0,crash
90,1745434,Lyons,33,30,0,crash
91,1782530,Winnetka,33,33,0,crash
92,1741105,Lake Forest,33,28,0,crash
94,1764421,Riverside,32,31,0,crash
98,1743250,Libertyville,32,32,0,crash
102,1743939,Lisle,31,28,0,crash
103,1711358,Carpentersville,31,31,0,crash
106,1731121,Grayslake,30,29,0,crash
107,1706587,Bloomingdale,30,29,0,crash
108,1704078,Batavia,28,27,0,crash
113,1710513,Calumet Park,26,25,0,crash
114,1735307,Hinsdale,26,26,0,crash
117,1757394,Palos Hills,25,25,0,crash
118,1777694,Vernon Hills,25,23,0,crash
123,1783349,Woodstock,24,24,0,crash
124,1772923,Stone Park,23,22,0,crash
126,1754534,Oak Brook,22,21,0,crash
127,1780047,Westchester,22,21,0,crash
130,1770720,South Elgin,21,20,0,crash
132,1714065,Chicago Ridge,20,18,0,crash
135,1717497,Crestwood,19,17,0,crash
136,1749854,Mokena,19,19,0,crash
137,1729652,Glencoe,18,16,0,crash
138,1764616,Robbins,18,16,0,crash
139,1780242,Western Springs,18,17,0,crash
142,1740793,La Grange Park,17,17,0,crash
144,1741742,Lake Zurich,17,17,0,crash
145,1754638,Oak Forest,17,15,0,crash
146,1746786,Marengo,16,16,0,crash
148,1737907,Itasca,15,15,0,crash
151,1766027,Round Lake,14,14,0,crash
152,1741183,Lake in the Hills,14,14,0,crash
153,1736750,Huntley,14,13,0,crash
157,1739519,Kenilworth,13,13,0,crash
159,1763706,Richton Park,13,11,0,crash
160,1701595,Antioch,13,13,0,crash
163,1743666,Lincolnshire,12,12,0,crash
164,1727442,Fox Lake,12,11,0,crash
166,1766066,Round Lake Park,11,11,0,crash
167,1735866,Hometown,11,10,0,crash
168,1703844,Barrington,11,10,0,crash
169,1733331,Harvard,11,11,0,crash
170,1705404,Berkeley,11,11,0,crash
172,1742795,Lemont,11,9,0,crash
173,1711592,Cary,11,10,0,crash
174,1781919,Willowbrook,11,11,0,crash
175,1757654,Park City,10,9,0,crash
176,1714572,Clarendon Hills,10,10,0,crash
177,1727624,Frankfort,10,10,0,crash
178,1745421,Lynwood,10,10,0,crash
179,1721696,East Dundee,9,9,0,crash
180,1761314,Posen,9,9,0,crash
181,1782400,Winfield,9,9,0,crash
182,1780125,West Dundee,9,9,0,crash
183,1744524,Long Grove,9,9,0,crash
185,1740910,Lake Bluff,8,8,0,crash
186,1753442,North Aurora,8,8,0,crash
187,1753663,Northfield,8,8,0,crash
188,1727533,Fox River Grove,7,6,0,crash
190,1776935,University Park,7,6,0,crash
192,1735835,Homer Glen,7,6,0,crash
193,1716691,Country Club Hills,7,7,0,crash
194,1735385,Hodgkins,6,6,0,crash
196,1730029,Glenwood,6,6,0,crash
198,1782686,Winthrop Harbor,6,6,0,crash
199,1737608,Inverness,6,6,0,crash
200,1770629,South Chicago Heights,6,5,0,crash
201,1704572,Bedford Park,5,4,0,crash
203,1732200,Hainesville,5,5,0,crash
205,1709798,Burnham,5,5,0,crash
206,1726571,Flossmoor,5,5,0,crash
207,1741586,Lake Villa,5,5,0,crash
209,1782101,Wilmington,5,3,0,crash
210,1770161,Sleepy Hollow,4,4,0,crash
211,1775185,Thornton,4,4,0,crash
212,1782049,Willow Springs,4,4,0,crash
213,1738479,Johnsburg,4,4,0,crash
214,1741326,Lakemoor,4,3,0,crash
215,1759052,Peotone,4,4,0,crash
216,1745564,McCook,3,3,0,crash
217,1761678,Prairie Grove,3,2,0,crash
218,1703883,Barrington Hills,3,3,0,crash
219,1737257,Indian Head Park,3,3,0,crash
220,1763641,Richmond,3,3,0,crash
221,1731446,Green Oaks,3,3,0,crash
222,1707770,Braidwood,3,3,0,crash
223,1733630,Hawthorn Woods,3,3,0,crash
224,1710906,Campton Hills,3,3,0,crash
225,1712476,Channahon,3,3,0,crash
226,1759572,Phoenix,3,3,0,crash
227,1766053,Round Lake Heights,3,3,0,crash
228,1726987,Forest View,2,2,0,crash
229,1745616,McCullom Lake,2,2,0,crash
230,1739883,Kildeer,2,2,0,crash
231,1782855,Wonder Lake,2,2,0,crash
232,1773391,Sugar Grove,2,2,0,crash
233,1749945,Monee,2,2,0,crash
234,1757407,Palos Park,2,2,0,crash
235,1746357,Manhattan,2,2,0,crash
236,1756627,Orland Hills,2,2,0,crash
237,1704585,Beecher,2,2,0,crash
238,1730120,Godley,2,2,0,crash
239,1732525,Hampshire,2,2,0,crash
240,1764538,Riverwoods,2,2,0,crash
241,1772052,Spring Grove,2,2,0,crash
242,1778370,Wadsworth,2,2,0,crash
243,1730328,Golf,1,1,0,crash
244,1753455,North Barrington,1,1,0,crash
245,1759988,Pingree Grove,1,0,0,crash
246,1740884,Lake Barrington,1,1,0,crash
247,1741651,Lakewood,1,1,0,crash
248,1743770,Lindenhurst,1,1,0,crash
249,1748671,Mettawa,1,1,0,crash
250,1755639,Old Mill Creek,1,1,0,crash
252,1775081,Third Lake,1,1,0,crash
253,1778175,Virgil,1,1,0,crash
